rand,select,common_name,scientific_name,group,state_status,federal_status,global_rank,state_rank,global_rank_2,plan_date,rpn,fws_exp,other_fed_exp,state_exp,total_exp,years_rep,max_exp,median_exp,rpn_sort
0.845209473,,Terlingua Creek Cat's-eye,Cryptantha crassipes,Plant,Endangered,Endangered,G1,S1,1,1994/04/05 00:00:00,5C,9900,600,40474,50974,12,23640,1325,5
0.535304096,,Texas Ayenia,Ayenia limitaris,Plant,Endangered,Endangered,G2,S1,2,2014/06/03 00:00:00,8C,605625,232470,23760,861855,15,273100,47965,8
0.218695693,,Texas Golden Gladecress,Leavenworthia texana,Plant,Endangered,Endangered,G1,S1,1,,UNK,16500,300,0,16800,2,9600,8400,
0.280170669,,Texas Poppy-mallow,Callirhoe scabriuscula,Plant,Endangered,Endangered,G2,S2,2,1985/03/29 00:00:00,5C,29050,20826,34896,84772,15,33080,2140,5
0.120271209,,Texas Prairie Dawn,Hymenoxys texana,Plant,Endangered,Endangered,G2,S2,2,1990/04/13 00:00:00,5C,489200,891946,27345,1408491,15,213188,79170,5
0.242868902,,Texas Snowbells,Styrax platanifolius spp. texanus,Plant,Endangered,Endangered,G3T1,S1,3,,,,,,,,,,
0.021629103,,Texas Trailing Phlox,Phlox nivalis ssp. texensis,Plant,Endangered,Endangered,G4T2,S2,4,,,,,,,,,,
0.73933439,,Texas Wild Rice,Zizania texana,Plant,Endangered,Endangered,G1,S1,1,1996/02/14 00:00:00,2C,3040752,48569,144290,3233611,15,674346,247550,2
0.759566503,,Tobusch Fishhook Cactus,Sclerocactus brevihamatus ssp. tobuschii,Plant,Endangered,Endangered,G4T3,S3,4,,,,,,,,,,
0.260065779,,Walker's Manioc,Manihot walkerae,Plant,Endangered,Endangered,G2,S1,2,1993/12/12 00:00:00,8C,308550,255199,29930,593679,15,255600,25000,8
0.146004648,,White Bladderpod,Physaria pallida,Plant,Endangered,Endangered,G1,S1,1,,,,,,,,,,
0.474021397,,Zapata Bladderpod,Physaria thamnophila,Plant,Endangered,Endangered,G1,S1,1,,,,,,,,,,
0.045326166,,Alligator Snapping Turtle,Macrochelys temminckii,Reptile,Threatened,Not listed,G3G4,S3,3.5,,,,,,,,,,
0.168888754,,Black-striped Snake,Coniophanes imperialis,Reptile,Threatened,Not listed,G4G5,S2,4.5,,,,,,,,,,
0.397994452,,Brazos Water Snake,Nerodia harteri,Reptile,Threatened,Not listed,G2,S1,2,,,,,,,,,,
0.832556478,,Cagle's Map Turtle,Graptemys caglei,Reptile,Threatened,Not listed,G3,S1,3,,,,,,,,,,
0.245729796,,Chihuahuan Desert Lyre Snake,Trimorphodon vilkinsonii,Reptile,Threatened,Not listed,G4,S3,4,,,,,,,,,,
0.053337788,,Chihuahuan Mud Turtle,Kinosternon hirtipes murrayi,Reptile,Threatened,Not listed,G5T5,S1,5,,,,,,,,,,
0.658870748,,Green Sea Turtle,Chelonia mydas,Reptile,Threatened,Threatened,G3,S3,3,,1C,8734918,77656427,2801884,89193229,15,7593653,3071375,1
0.334276421,,Green Sea Turtle,Chelonia mydas,Reptile,Threatened,Threatened,G3,S3,3,,1C,8734918,77656427,2801884,89193229,15,7593653,3071375,1
0.831441466,,Hawksbill Sea Turtle,Eretmochelys imbricata,Reptile,Endangered,Endangered,G3,S2,3,,1C,7920876,50570152,2053147,60544175,15,6763446,3888053,1
0.111970945,,Kemp's Ridley Sea Turtle,Lepidochelys kempii,Reptile,Endangered,Endangered,G1,S3,1,2011/09/22 00:00:00,2C,5523997,61511605,2359164,69394766,15,6664434,4461620,2
0.281009005,,Leatherback Sea Turtle,Dermochelys coriacea,Reptile,Endangered,Endangered,G2,S1S2,2,,1,11914638,84294232,1747623,97956493,15,9992054,6900968,1
0.880398581,,Loggerhead Sea Turtle,Caretta caretta,Reptile,Threatened,Threatened,G3,S4,3,1998/01/12 00:00:00,9C,15294618,99734040,5799774,120828432,15,11285625,5695531,9
0.869588784,,Loggerhead Sea Turtle,Caretta caretta,Reptile,Threatened,Threatened,G3,S4,3,2008/12/31 00:00:00,9C,15294618,99734040,5799774,120828432,15,11285625,5695531,9
0.754532741,,Louisiana Pine Snake,Pituophis ruthveni,Reptile,Threatened,Proposed Threatened,G2,S1,2,,,,,,,,,,
0.594793902,,Mountain Short-horned Lizard,Phrynosoma hernandesi,Reptile,Threatened,Not listed,G5,S3,5,,,,,,,,,,
0.122531378,,Northern Cat-eyed Snake,Leptodeira septentrionalis,Reptile,Threatened,Not listed,G5,S2,5,,,,,,,,,,
0.872479327,,Northern Scarlet Snake,Cemophora coccinea copei,Reptile,Threatened,Not listed,G5T5,S3,5,,,,,,,,,,
0.762505897,,Reticulate Collared Lizard,Crotaphytus reticulatus,Reptile,Threatened,Not listed,G3,S2,3,,,,,,,,,,
0.816203588,,Reticulated Gecko,Coleonyx reticulatus,Reptile,Threatened,Not listed,G3,S3,3,,,,,,,,,,
0.202267987,,Smooth Green Snake,Liochlorophis vernalis,Reptile,Threatened,Not listed,G5,SX,5,,,,,,,,,,
0.842292979,,Speckled Racer,Drymobius margaritiferus,Reptile,Threatened,Not listed,G5,S1,5,,,,,,,,,,
0.003182019,,Texas Horned Lizard,Phrynosoma cornutum,Reptile,Threatened,Not listed,G4G5,S4,4.5,,,,,,,,,,
0.020251949,,Texas Indigo Snake,Drymarchon melanurus erebennus,Reptile,Threatened,Not listed,G5T4,S3,5,,,,,,,,,,
0.289543055,,Texas Scarlet Snake,Cemophora coccinea lineri,Reptile,Threatened,Not listed,G5T2,S1S2,5,,,,,,,,,,
0.096541119,,Texas Tortoise,Gopherus berlandieri,Reptile,Threatened,Not listed,G4,S2,4,,,,,,,,,,
0.490175112,,Timber Rattlesnake,Crotalus horridus,Reptile,Threatened,Not listed,G4,S4,4,,,,,,,,,,
0.825913644,,Trans-Pecos Black-headed Snake,Tantilla cucullata,Reptile,Threatened,Not listed,G3,S2,3,,,,,,,,,,
