ref_sci,fws_exp,other_fed_exp,state_exp,total_exp,years_rep,max_exp,median_exp
Arctostaphylos franciscana,385258,11000,0,396258,3,339628,28950
Arctostaphylos glandulosa ssp. crassifolia,92681,470380,1800,564861,12,163673,34345.5
Arctostaphylos hookeri var. ravenii,163071,34810,0,197881,12,140293,3618
Arctostaphylos morroensis,197438,29735,5000,232173,15,77555,7645
Arctostaphylos myrtifolia,364631,315754,34400,714785,15,145608,36000
Arctostaphylos pallida,241629,300,3500,245429,12,45378,20000
Arenaria cumberlandensis,297900,75929,4330,378159,15,56225,19790
Arenaria paludicola,585901,213610,3700,803211,15,136107,51470
Arenaria ursina,303471,550082,0,853553,15,265935,30841
Argemone pleiacantha ssp. pinnatisecta,237963,424795,0,662758,13,132800,26000
Argyroxiphium kauense,525598,547328,54645,1127571,15,360152,55106
Argyroxiphium sandwicense ssp. macrocephalum,131961,376535,4707,513203,14,116438,25715.5
Argyroxiphium sandwicense ssp. sandwicense,193104,954,51507,245565,15,34243,16224
Aristida chaseae,89000,400,0,89400,14,12000,6250
Aristida portoricensis,76400,400,0,76800,15,11000,4000
Arkansia wheeleri,540638,2453189,64078,3057905,15,2170960,61261
Asclepias meadii,639709,309647,181746,1131102,15,150846,67654
Asclepias welshii,29464,365845,18000,413309,15,68000,22300
Asimina tetramera,64000,180466,29100,273566,15,82110,10700
Asplenium dielerectum,11208,1000,0,12208,1,12208,12208
Asplenium dielfalcatum,6730,0,0,6730,1,6730,6730
Asplenium dielmannii,16027,0,0,16027,1,16027,16027
Asplenium dielpallidum,23088,0,0,23088,1,23088,23088
Asplenium peruvianum var. insulare,9790,147800,0,157590,1,157590,157590
Asplenium scolopendrium var. americanum,194337,58297,10700,263334,15,60471,8597
Asplenium unisorum,4866,3793,0,8659,1,8659,8659
Assiminea pecos,153170,148670,14750,316590,11,74127,13650
Astelia waialealae,116478,1577,6410,124465,6,25686,21677.5
Astragalus albens,109204,245312,0,354516,13,101000,20000
Astragalus ampullarioides,279630,583375,0,863005,15,204700,42000
Astragalus applegatei,545928,212294,600,758822,15,150751,55350
Astragalus bibullatus,373100,42855,935,416890,15,50600,26616
Astragalus brauntonii,274957,195632,4100,474689,14,116778,18056
Astragalus clarianus,28886,300,200,29386,6,16288,2131
Astragalus cremnophylax var. cremnophylax,233818,593113,12200,839131,15,159000,41900
Astragalus desereticus,72000,32864,400,105264,14,42500,3250
Astragalus holmgreniorum,380845,2138421,12700,2531966,15,1557075,69200
Astragalus humillimus,68736,93796,0,162532,15,39938,9593
Astragalus jaegerianus,833917,3476602,200,4310719,15,729563,243000
Astragalus lentiginosus var. coachellae,1002364,404835,2000,1409199,13,338413,70182
Astragalus lentiginosus var. piscinensis,258143,163800,0,421943,15,89235,16393
Astragalus magdalenae var. peirsonii,749796,4812700,10400,5572896,15,1302200,265664
Astragalus montii,35100,82335,400,117835,14,75800,3050
Astragalus osterhoutii,31070,196405,0,227475,15,34425,17700
Astragalus phoenix,277426,54213,0,331639,11,85396,26003
Astragalus pycnostachyus var. lanosissimus,325152,7887,79200,412239,15,129200,19100
Astragalus robbinsii var. jesupi,187081,6213,32018,225312,15,40145,13600
Astragalus tener var. titi,39919,9000,0,48919,10,21600,2950
Astragalus tricarinatus,879317,150247,2200,1031764,15,384450,13500
Astrophytum asterias,926600,269114,401292,1597006,15,537156,53416
Atelopus varius zeteki,52020,83520,0,135540,1,135540,135540
Athearnia anthonyi,200400,29185,7656,237241,15,37920,5664
Atriplex coronata var. notatior,315435,2823,500,318758,12,110000,5110
Auerodendron pauciflorum,55900,100,0,56000,14,10500,3500
Ayenia limitaris,605625,232470,23760,861855,15,273100,47965
Babyrousa babyrussa,1000,0,0,1000,1,1000,1000
Baccharis vanessae,49908,118004,1900,169812,12,88700,5297.5
Balaena mysticetus,7500,52488578,25000,52521078,15,25859765,1950827
Balaenoptera borealis,1072,16101931,48643,16151646,15,4147048,470079
Balaenoptera musculus,1200,18483974,48643,18533817,15,4198058,306429
Balaenoptera physalus,3472,17441964,318412,17763848,15,3814423,877306
Banara vanderbiltii,63500,200,0,63700,14,13500,3000
Baptisia arachnifera,644000,4975,77100,726075,14,521000,16000
Batrachoseps aridus,547736,10170,700,558606,13,375000,2500
Batrisodes texanus,209115,1334376,12014,1555505,15,1310000,4240
Batrisodes venyivi,334285,12480,10451,357216,14,202600,9720
Berberis (=Mahonia) sonnei,33025,0,0,33025,2,30225,16512.5
Berberis nevinii,420648,224627,1800,647075,14,243633,11006
Berberis pinnata ssp. insularis,59456,58703,0,118159,13,26362,7307
Betula uber,77544,5505,0,83049,12,20000,7000
Bidens amplectens,20959,1042,2796,24797,3,9767,8029
Bidens campylotheca pentamera,26925,1742,2796,31463,3,12652,10160
Bidens campylotheca waihoiensis,28135,1742,2796,32673,3,12905,11087
Bidens conjuncta,23725,1042,2796,27563,3,11366,8660
Bidens hillebrandiana ssp. hillebrandiana,13033,124,0,13157,2,8308,6578.5
Bidens micrantha ctenophylla,151463,33147,0,184610,2,115376,92305
Bidens micrantha ssp. kalealaha,115084,218324,4904,338312,15,57820,23100
Bidens wiebkei,490540,1577,4707,496824,14,170364,4228
Bison bison athabascae,1104093,33500,593934,1731527,7,954600,133578
Blennosperma bakeri,543753,502920,16200,1062873,14,494726,38665
Boloria acrocnema,90322,289150,0,379472,15,72285,21974
Boltonia decurrens,572461,563143,97410,1233014,15,134228,74333
Bonamia grandiflora,133203,948252,37870,1119325,15,317100,33100
Bonamia menziesii,591807,433208,38715,1063730,15,257702,46516
Brachylagus idahoensis,4048438,1370307,1750700,7169445,14,897716,451565
Brachyramphus marmoratus,22353170,36822443,13582073,72757686,15,7322553,4820134
Branchinecta conservatio,1185949,490457,3300,1679706,14,244509,113428.5
Branchinecta longiantenna,2398832,167835,0,2566667,15,925093,45021
Branchinecta lynchi,9815158,21607856,63000,31486014,15,4627010,1676046
Branchinecta sandiegonensis,3662125,4452039,8000,8122164,15,2033910,415542
Branta (=Nesochen) sandvicensis,5302742,7398939,1006720,13708401,15,1616963,1101201
Branta canadensis leucopareia,8000,6000,500,14500,1,14500,14500
Brickellia mosieri,85205,504,5000,90709,1,90709,90709
Brighamia insignis,117938,21725,5795,145458,14,39990,4289.5
Brighamia rockii,426019,78487,6708,511214,14,180664,14365
Brodiaea filifolia,731983,2038209,39900,2810092,15,609107,125792
Brodiaea pallida,195218,2460,0,197678,12,43945,15600
Brychius hungerfordi,660300,12214,2500,675014,15,163100,27200
Bufo hemiophrys baxteri,862195,17200,14074,893469,1,893469,893469
Bufo houstonensis,2405346,1011777,792964,4210087,15,455091,266015
Buteo platypterus brunnescens,366900,254601,0,621501,15,100726,30500
Buteo solitarius,1677483,1293852,556,2971891,15,415806,168682
Buxus vahlii,116600,795,0,117395,14,20500,8097.5
Cacatua moluccensis,14966,0,0,14966,1,14966,14966
Calamagrostis hillebrandii,20470,847,2796,24113,3,11171,7537
Calidris canutus rufa,464582,410159,2110,876851,1,876851,876851
Callicarpa ampla,59400,83516,0,142916,15,58500,4416
Callirhoe scabriuscula,29050,20826,34896,84772,15,33080,2140
Callithrix aurita (=jacchus a.),0,1200,0,1200,1,1200,1200
Callophrys mossii bayensis,126538,9570,0,136108,11,24157,8500
Calochortus tiburonensis,105976,22103,0,128079,10,31500,9261.5
Calyptranthes thomasiana,62600,40533,0,103133,15,15615,6500
Calyptridium pulchellum,229053,13555,0,242608,13,88500,9400
Calyptronoma rivalis,158600,100,0,158700,13,39500,7100
Calystegia stebbinsii,477374,2101032,100,2578506,15,1845000,42000
Cambarus aculabrum,242677,5101,1300,249078,14,35300,18000
Cambarus zophonastes,212300,4377,8550,225227,14,47000,16700
Camissonia benitensis,274575,843000,0,1117575,14,164598,77782.5
Campanula robinsiae,73700,6517,53926,134143,10,61250,7650
Campeloma decampi,49700,9089,5000,63789,11,11000,6500
Campephilus principalis,5166750,1713505,327624,7207879,15,2090755,35371
Canavalia molokaiensis,500331,66153,7164,573648,14,176500,7548
Canavalia napaliensis,65919,1577,2796,70292,6,36871,6235
Canavalia pubescens,64448,1142,2796,68386,3,24116,23660
Canis lupus,61073007,41947521,17781285,120801813,15,6954633,1560262
Canis lupus baileyi,3854715,649080,666000,5169795,3,3079515,1035390
Canis rufus,17035948,5237279,346046,22619273,15,3590255,620462.5
Capra walie,0,29667,0,29667,1,29667,29667
Caprimulgus noctitherus,405000,4872,0,409872,15,69000,25900
Cardamine micranthera,57571,18198,8820,84589,13,16000,6600
Caretta caretta,15294618,99734040,5799774,120828432,15,11285625,5695531
Carex albida,86824,1800,300,88924,11,31206,4000
Carex lutea,345000,20652,4956,370608,14,131190,12640
Carex specuicola,46072,34397,10600,91069,15,13388,4966
Castilleja affinis ssp. neglecta,271549,9373,0,280922,11,105050,21764
Castilleja campestris ssp. succulenta,401315,359067,19500,779882,15,240100,24795
Castilleja cinerea,120581,687463,0,808044,14,272735,42820
Castilleja grisea,153491,1732285,0,1885776,13,379786,121656
Castilleja levisecta,5901698,669505,17300,6588503,15,1242708,379107
Castilleja mollis,69237,123318,0,192555,15,27774,9807
Catesbaea melanocarpa,355300,995,0,356295,14,111900,13500
Catostomus discobolus yarrowi,24100,400,7000,31500,2,18800,15750
Catostomus microps,775570,181053,46286,1002909,15,209446,53555
Catostomus santaanae,1390423,17651338,51700,19093461,15,7437464,350897
Catostomus warnerensis,1539302,1228814,63532,2831648,15,418388,198612
Caulanthus californicus,408133,298091,0,706224,15,177782,44650
Ceanothus ferrisae,315338,7223,0,322561,12,67785,23033.5
Ceanothus ophiochilus,43786,3000,0,46786,7,16744,4379
Ceanothus roderickii,273870,2447900,800,2722570,15,1850000,40500
Cenchrus agrimonioides,279205,1473278,18621,1771104,15,299245,115078
Centaurium namophilum,592018,36713,0,628731,12,212078,24779
Centrocercus minimus,331216,1812033,540616,2683865,1,2683865,2683865
Ceratotherium simum cottoni,207376,0,0,207376,1,207376,207376
Cercocarpus traskiae,23109,140,200,23449,7,12784,1160
Cercopithecus diana,0,450,0,450,1,450,450
Cereus eriophorus var. fragrans,133050,12030,48200,193280,15,40000,7200
Cervus eldi,0,50050,0,50050,1,50050,50050
Chamaecrista glandulosa var. mirabilis,57800,800,0,58600,14,12200,3000
Chamaesyce deltoidea ssp. deltoidea,248500,17773,9600,275873,15,77100,5500
Chamaesyce garberi,95990,22353,4900,123243,15,33800,5700
Chamaesyce hooveri,252658,29877,1500,284035,13,62105,13364
Charadrius alexandrinus nivosus,17593047,37115030,951125,55659202,15,4872780,3846578
Charadrius melodus,18210745,120423724,5948312,144582781,15,18108135,3642228
Charpentiera densiflora,65898,1577,2796,70271,6,38088,7345
Chasiempis ibidis,22688,335483,0,358171,1,358171,358171
Chasmistes brevirostris,11224856,46553371,119203,57897430,15,7913485,3755014
Chasmistes cujus,3558538,11561226,700,15120464,15,2802590,987062
Chasmistes liorus,1270978,11476099,4379919,17126996,15,6626202,651100
Chelonia mydas,8734918,77656427,2801884,89193229,15,7593653,3071375
Chinchilla brevicaudata boliviana,300,0,0,300,1,300,300
Chionanthus pygmaeus,102222,6217,22600,131039,14,26000,7400
Chlorogalum purpureum,360206,1871124,2000,2233330,15,329905,136707
Chorizanthe howellii,392109,10900,2600,405609,13,231080,9900
Chorizanthe orcuttiana,344883,773499,4500,1122882,15,237273,40483
Chorizanthe pungens var. hartwegiana,243867,0,0,243867,12,61972,12335
Chorizanthe pungens var. pungens,824357,715956,0,1540313,15,203400,81770
Chorizanthe robusta var. hartwegii,39300,0,0,39300,1,39300,39300
Chorizanthe robusta var. robusta,10638,0,0,10638,2,6025,5319
Chorizanthe valida,48229,153665,0,201894,15,56016,6280
Chromolaena frustrata,1300,7000,2400,10700,2,8300,5350
Chrosomus saylori,59500,11847,0,71347,5,20000,14650
Chrysocyon brachyurus,0,259000,0,259000,1,259000,259000
Chrysopsis floridana,258314,8912,141500,408726,14,75156,26800
Cicindela dorsalis dorsalis,1740089,514222,49550,2303861,14,842241,128569
Cicindela nevadica lincolniana,1275080,149455,270900,1695435,10,322585,149416.5
Cicindela ohlone,329645,8700,0,338345,12,104354,20265
Cicindela puritana,3852985,168682,54292,4075959,15,2229631,83624
Cicurina baronia,360569,46190,13026,419785,15,203100,10098
Cicurina madla,362281,1589715,13410,1965406,15,342545,109710
Cicurina venii,371498,415345,10151,796994,14,342345,8985.5
Cicurina vespera,355678,31380,12985,400043,15,204700,10085
Cirsium fontinale var. fontinale,227877,7238,0,235115,11,90011,10000
Cirsium fontinale var. obispoense,156895,154047,500,311442,15,82773,12000
Cirsium hydrophilum var. hydrophilum,490037,41400,95000,626437,15,117075,44000
Cirsium loncholepis,568554,185676,1600,755830,15,165459,35435
Cirsium pitcheri,741534,804126,20652,1566312,15,240489,78850
Cirsium vinaceum,284865,284725,0,569590,15,205000,17000
Cladonia perforata,313501,559896,40800,914197,15,164340,76450
Clarkia franciscana,141702,181908,0,323610,15,49835,19300
Clarkia imbricata,182965,151700,0,334665,8,159500,30516.5
Clarkia speciosa ssp. immaculata,66121,600,0,66721,12,29590,3830
Clarkia springvillensis,85834,65950,1400,153184,15,38000,4900
Clematis morefieldii,109800,6795,1817,118412,14,29024,6058.5
Clematis socialis,160750,22822,25000,208572,15,47416,10850
