ref_sci,fws_exp,other_fed_exp,state_exp,total_exp,years_rep,max_exp,median_exp
Cyprinodon nevadensis pectoralis,1146822,70357,17500,1234679,14,386215,53700
Cyprinodon radiosus,818457,1273500,18400,2110357,15,1109722,56880
Cyprogenia stegaria,2990713,710099,130137,3830949,15,868698,110177
Cyrtandra crenata,36762,1577,7585,45924,15,9564,1900
Cyrtandra cyaneoides,111901,23070,4707,139678,14,36438,4176
Cyrtandra dentata,70636,1427171,6390,1504197,15,189645,107790
Cyrtandra ferripilosa,32949,6118,2796,41863,3,18015,14558
Cyrtandra filipes,44204,1142,2796,48142,3,16954,16901
Cyrtandra giffardii,108533,111498,15579,235610,15,51121,16633
Cyrtandra gracilis,42889,747,2796,46432,3,16201,15786
Cyrtandra kaulantha,38736,1042,2796,42574,3,17124,16485
Cyrtandra limahuliensis,48156,24984,547,73687,14,19856,3880.5
Cyrtandra munroi,113187,6077,4030,123294,15,20059,8084
Cyrtandra nanawaleensis,17297,12624,0,29921,2,16523,14960.5
Cyrtandra oenobarba,48157,1577,2796,52530,6,12129,9453.5
Cyrtandra oxybapha,25894,1042,2796,29732,3,12380,8706
Cyrtandra paliku,62590,11577,4537,78704,6,26929,10350.5
Cyrtandra polyantha,74435,1577,14288,90300,15,17960,5757
Cyrtandra sessilis,19660,1042,2796,23498,3,8753,7928
Cyrtandra subumbellata,52846,784101,5498,842445,15,168530,47841
Cyrtandra tintinnabula,304882,44642,13207,362731,15,143700,12000
Cyrtandra viridiflora,98433,930739,5111,1034283,15,168530,68059
Cyrtandra wagneri,36001,747,0,36748,2,19391,18374
Cyrtandra waiolani,21133,747,2796,24676,3,8807,8266
Dalea foliosa,640746,221271,7855,869872,15,175440,46252
Damaliscus pygarus (=dorcas) dorcas,0,150,0,150,1,150,150
Daphnopsis hellerana,69800,100,0,69900,14,9500,4350
Deeringothamnus pulchellus,45750,3900,11095,60745,14,22200,2650
Deeringothamnus rugelii,31403,3544,13500,48447,14,16550,1875
Deinandra (=Hemizonia) conjugens,2839061,269964,25800,3134825,15,1848793,43254
Deinandra increscens ssp. villosa,491132,697556,5500,1194188,12,256134,83935.5
Delissea rhytidosperma,96058,16266,20807,133131,15,18921,7538
Delissea subcordata,117514,1445117,16597,1579228,15,201345,112498
Delissea undulata,129237,4172,20067,153476,15,33952,7500
Delphinapterus leucas,0,12046447,47400,12093847,5,3280880,2390611
Delphinium bakeri,349094,300,9500,358894,14,46500,24323.5
Delphinium luteum,181017,10521,500,192038,12,45000,9000
Delphinium variegatum ssp. kinkiense,102471,1397781,0,1500252,13,355297,70607
Deltistes luxatus,10544805,46564372,149515,57258692,15,8019777,3889677
Dendrogyra cylindricus,0,442513,0,442513,1,442513,442513
Dendroica chrysoparia,5980468,22427348,266110,28673926,15,4471850,1553371
Dermochelys coriacea,11914638,84294232,1747623,97956493,15,9992054,6900968
Desmocerus californicus dimorphus,6151004,33523126,11500,39685630,14,7714084,2571248.5
Dicerandra christmanii,94301,2500,55600,152401,15,41950,4500
Dicerandra cornutissima,30503,7129,5000,42632,13,10100,2400
Dicerandra frutescens,60650,110944,29600,201194,15,34550,14000
Dicerandra immaculata,928152,161598,100000,1189750,15,735900,24900
Dicerorhinus sumatrensis,170870,170870,0,341740,1,341740,341740
Diceros bicornis,957319,957320,0,1914639,1,1914639,1914639
Dinacoma caseyi,244518,2950,0,247468,4,218700,13064
Dionda diaboli,1597275,7922,153097,1758294,15,501577,28476
Diplacus vandenbergensis,0,388500,0,388500,1,388500,388500
Diplazium molokaiense,185927,30038,6908,222873,14,41924,13834.5
Dipodomys heermanni morroensis,502998,127405,3000,633403,14,201100,23756.5
Dipodomys ingens,1626083,2616460,80800,4323343,15,668922,300272
Dipodomys merriami parvus,1012474,2331919,5700,3350093,15,480917,232004
Dipodomys nitratoides exilis,641882,820793,5800,1468475,15,176901,88350
Dipodomys nitratoides nitratoides,1296313,1598904,146200,3041417,15,781568,121275
Dipodomys stephensi (incl. D. cascus),711859,3467388,20800,4200047,15,538249,265387
Discus macclintocki,587800,22793,32020,642613,15,158000,24808
Dodecahema leptoceras,56048,1303237,7200,1366485,15,212715,86330
Doryopteris angelica,82347,1577,5253,89177,6,39040,9975.5
Doryopteris takeuchii,19226,623,2796,22645,3,8458,7603
Dromus dromas,564586,311409,37647,913642,15,198451,12680
Drosophila aglaia,104931,0,0,104931,10,36365,9807.5
Drosophila differens,109348,0,0,109348,10,36365,9121.5
Drosophila digressa,14298,0,0,14298,2,8873,7149
Drosophila hemipeza,106299,0,0,106299,10,36365,8543.5
Drosophila heteroneura,116463,6572,0,123035,10,36365,9171.5
Drosophila montgomeryi,101389,828614,0,930003,10,289678,50223
Drosophila mulli,99732,1095,0,100827,10,36365,7357.5
Drosophila musaphilia,35698,38211,0,73909,4,32176,14681
Drosophila neoclavisetae,92105,0,0,92105,10,36365,6471
Drosophila obatai,97361,101163,0,198524,10,84609,9621.5
Drosophila ochrobasis,103655,1095,0,104750,10,36365,7606
Drosophila sharpi,60606,38211,0,98817,6,35893,16024
Drosophila substenoptera,101361,828535,0,929896,10,289678,51183.5
Drosophila tarphytrichia,93619,0,0,93619,10,36365,6978
Drymarchon corais couperi,6007887,13027963,266147,19301997,15,2460953,1344332
Dryopteris crinalis var. podosorus,73678,1412,2796,77886,6,18635,14283.5
Dubautia herbstobatae,71096,1307965,4317,1383378,15,176656,107198
Dubautia imbricata imbricata,46487,1577,2796,50860,6,11684,8659.5
Dubautia kalalauensis,75811,1577,5901,83289,6,17429,13815.5
Dubautia kenwoodii,42667,1577,2796,47040,6,16091,7057.5
Dubautia latifolia,49597,2677,17594,69868,14,11444,4162.5
Dubautia pauciflorula,100468,1577,5776,107821,14,23089,4532
Dubautia plantaginea magnifolia,38601,1577,2796,42974,6,12750,6557.5
Dubautia plantaginea ssp. humilis,81065,954,6749,88768,14,17306,7950
Dubautia waialealae,82155,1577,2796,86528,6,20551,13687
Dudleya abramsii ssp. parva,54599,10281,600,65480,15,16908,3000
Dudleya cymosa ssp. marcescens,50843,10970,500,62313,13,20362,1850
Dudleya cymosa ssp. ovatifolia,374808,12805,700,388313,13,319075,3436
Dudleya nesiotica,13951,42840,0,56791,9,14082,7000
Dudleya setchellii,313170,221723,0,534893,12,233500,26999.5
Dudleya stolonifera,33767,0,0,33767,4,27161,3260
Dudleya traskiae,50287,51338,0,101625,12,21607,5816
Dudleya verityi,451593,15781,0,467374,13,287050,2250
Echinacea laevigata,1159817,1240255,151714,2551786,15,286925,188654
Echinacea tennesseensis,386400,34491,1117,422008,11,157350,21110
Echinocactus horizonthalonius var. nicholii,66151,146403,15450,228004,15,59000,7406
Echinocereus chisoensis var. chisoensis,14300,150500,5800,170600,15,64400,5450
Echinocereus fendleri var. kuenzleri,42600,2084365,0,2126965,15,1117150,78100
Echinocereus reichenbachii var. albertii,118150,15471,20840,154461,15,19291,10300
Echinocereus triglochidiatus var. arizonicus,67545,136707,20700,224952,14,98095,5650
Echinocereus viridiflorus var. davisii,13700,500,14450,28650,11,9400,650
Echinomastus erectocentrus var. acunensis,12100,101700,5000,118800,2,64800,59400
Echinomastus mariposensis,3400,26810,18644,48854,14,8892,2600
Elaphoglossum serpens,45400,100,0,45500,14,8100,2500
Elaphrus viridis,91172,1313200,6500,1410872,14,1301400,2844
Elassoma alabamae,29300,0,0,29300,2,21300,14650
Elephas maximus,1904973,2026673,0,3931646,1,3931646,3931646
Eleutherodactylus cooki,401500,6156,0,407656,15,124250,10900
Eleutherodactylus jasperi,62400,52700,0,115100,13,24500,5500
Eleutherodactylus juanariveroi,11100,1900,0,13000,2,7000,6500
Elimia crenatella,85200,5381,0,90581,12,18504,5850
Elliptio chipolaensis,370024,818879,500,1189403,15,193200,73260
Elliptio spinosa,17700,55443,4500,77643,4,35793,18475
Elliptio steinstansana,668200,288956,360269,1317425,15,213262,74082
Elliptoideus sloatianus,1277224,1042778,40500,2360502,15,287586,159015
Empetrichthys latos,874014,163826,33350,1071190,15,148873,57672
Empidonax traillii extimus,11374943,185197428,2102799,198675170,15,23157345,12297617
Enceliopsis nudicaulis var. corrugata,338901,54513,0,393414,12,106176,19650
Enhydra lutris kenyoni,4056711,1605417,29205,5691333,11,783711,528149
Enhydra lutris nereis,3246138,11941373,205200,15392711,15,1280387,745766
Epicrates inornatus,503500,724861,0,1228361,15,153073,77074
Epicrates monensis granti,210100,49422,29256,288778,13,47128,25828
Epicrates monensis monensis,132500,100,0,132600,15,27500,8000
Epioblasma brevidens,913104,562531,92305,1567940,15,259168,33701
Epioblasma capsaeformis,1416285,394555,124563,1935403,15,346600,30375
Epioblasma florentina curtisii,131850,86644,43200,261694,15,79300,7095
Epioblasma florentina florentina,42500,17160,0,59660,14,15000,2633
Epioblasma florentina walkeri (=E. walkeri),1277449,240945,78593,1596987,15,271377,100815
Epioblasma metastriata,103700,234085,33475,371260,15,147989,15200
Epioblasma obliquata obliquata,456550,292485,28999,778034,15,108282,23824
Epioblasma obliquata perobliqua,373150,198414,9884,581448,15,111600,27200
Epioblasma othcaloogensis,93600,239066,30500,363166,15,145989,15700
Epioblasma penita,88100,55374,19175,162649,15,51000,4943
Epioblasma torulosa gubernaculum,61418,10147,3500,75065,15,15900,2600
Epioblasma torulosa rangiana,1072614,2370227,290156,3732997,15,465925,254073
Epioblasma torulosa torulosa,119703,115715,2471,237889,15,70000,6232.5
Epioblasma triquetra,364842,2075525,48659,2489026,4,1002972,597479
Epioblasma turgidula,42400,13968,0,56368,14,9652,1956
Equus grevyi,0,300,0,300,1,300,300
Equus hemionus,250,12500,0,12750,1,12750,12750
Equus przewalskii,0,49200,0,49200,1,49200,49200
Eragrostis fosbergii,46515,8207,3443,58165,14,14054,3303
Eremalche kernensis,181852,151927,4000,337779,15,58102,15165
Eremichthys acros,717031,246845,22400,986276,15,153600,61000
Eremophila alpestris strigata,714291,2815486,18000,3547777,2,2151512,1773888.5
Eretmochelys imbricata,7920876,50570152,2053147,60544175,15,6763446,3888053
Eriastrum densifolium ssp. sanctorum,57024,1356238,20420,1433682,14,221966,85515.5
Eriastrum hooveri,13870,44560,0,58430,4,29770,10550
Erigeron decumbens,1923490,1523618,0,3447108,15,843700,185237
Erigeron maguirei,151400,318926,400,470726,11,139200,34000
Erigeron parishii,76103,520103,0,596206,15,179230,28440
Erigeron rhizomatus,48164,62978,10200,121342,14,17300,8231
Erignathus barbatus nauticus,0,250150,0,250150,1,250150,250150
Erimonax monachus,1585877,402419,129884,2118180,11,303955,12500
Erimystax cahni,212686,264927,7500,485113,15,179240,15733
Erinna newcombi,487719,264,0,487983,14,128500,14291.5
Eriodictyon altissimum,340801,9800,0,350601,15,156848,6797
Eriodictyon capitatum,78136,584693,200,663029,14,308000,13995.5
Eriogonum apricum (incl. var. prostratum),79491,6100,44300,129891,10,63000,9650
Eriogonum codium,30349,4267,800,35416,2,18494,17708
Eriogonum gypsophilum,51900,340720,0,392620,14,131600,16000
Eriogonum kennedyi var. austromontanum,42803,574214,0,617017,12,265935,26516.5
Eriogonum longifolium var. gnaphalifolium,148104,1011135,26600,1185839,14,316580,50700
Eriogonum ovalifolium var. vineum,86872,553027,500,640399,14,175230,21750
Eriogonum ovalifolium var. williamsiae,418404,193276,900,612580,15,125200,31200
Eriogonum pelinophilum,73051,287407,7055,367513,15,74036,19750
Eriophyllum latilobum,195758,2968,0,198726,10,106450,10996.5
Eryngium aristulatum var. parishii,2409616,1280149,4300,3694065,15,1801411,95200
Eryngium constancei,28517,400,0,28917,9,10235,2079
Eryngium cuneifolium,104100,130311,35616,270027,15,48384,16000
Erysimum capitatum var. angustatum,709423,30400,0,739823,11,231500,57450
Erysimum menziesii,574711,963600,1000,1539311,15,327180,88000
Erysimum teretifolium,236292,200,0,236492,13,104000,9740
Erythronium propullans,132900,20504,55100,208504,15,31844,14600
Eschrichtius robustus,1020,4058271,0,4059291,9,1975402,132510
Etheostoma boschungi,292300,237508,51134,580942,15,144737,18346
Etheostoma chermocki,212300,6735,4100,223135,14,154455,4204
Etheostoma chienense,353800,17077,400,371277,15,67500,19100
Etheostoma etowahae,3863500,196767,74650,4134917,15,1114500,139350
Etheostoma fonticola,2827173,133359,5900,2966432,14,655364,80900
Etheostoma moorei,172000,12128,2500,186628,5,79396,24661
Etheostoma nianguae,2027076,69019,2489800,4585895,14,1041457,293682
Etheostoma nuchale,159700,19629,10167,189496,15,28477,12000
Etheostoma okaloosae,1364720,10792804,0,12157524,15,2245000,633000
Etheostoma percnurum,665471,1765431,21360,2452262,15,1337249,30210
Etheostoma phytophilum,6800,2599,0,9399,5,6335,850
Etheostoma rubrum,41000,31604,41400,114004,14,15733,10320
Etheostoma scotti,2954500,420683,66900,3442083,15,576988,145000
Etheostoma sellare,106590,2621,0,109211,9,42800,9408
Etheostoma susanae,60800,11116,8860,80776,5,23684,18630
Etheostoma wapiti,677500,3264479,42065,3984044,15,792200,47068
Eubalaena australis,0,23044,517,23561,5,19050,1000
Eubalaena glacialis,3000,50350074,235493,50588567,5,10958108,9905912
Eubalaena japonica,0,4975160,0,4975160,5,2762940,570759
Eucyclogobius newberryi,5410907,3455539,37000,8903446,15,944722,607256
Eudyptes chrysocome,4793,0,0,4793,1,4793,4793
Eugenia haematocarpa,67300,100,0,67400,14,13000,3750
Eugenia koolauensis,116862,952593,10883,1080338,15,182934,69133
Eugenia woodburyana,210400,300,0,210700,14,90500,8750
Eumeces egregius lividus,605394,696567,0,1301961,15,394740,34708
Eumetopias jubatus,131578,531988654,12232169,544352401,15,55998075,16568504
Eumops floridanus,645018,414579,57576,1117173,2,801684,558586.5
Euphilotes battoides allyni,1175203,2118172,700,3294075,15,671750,112002
Euphilotes enoptes smithi,1046744,303504,0,1350248,15,192360,85500
Euphorbia celastroides var. kaenana,14058,160333,0,174391,1,174391,174391
Euphorbia deppeana,4891,0,0,4891,1,4891,4891
Euphorbia eleanoriae,11231,0,0,11231,1,11231,11231
Euphorbia haeleeleana,134175,240746,28731,403652,15,81375,17738
Euphorbia halemanui,5148,0,0,5148,1,5148,5148
Euphorbia herbstii,7295,160333,0,167628,1,167628,167628
Euphorbia kuwaleana,4891,28917,0,33808,1,33808,33808
Euphorbia remyi var. kauaiensis,9765,0,0,9765,1,9765,9765
Euphorbia remyi var. remyi,15771,0,0,15771,1,15771,15771
Euphorbia rockii,5317,160333,0,165650,1,165650,165650
Euphorbia skottsbergii var. skottsbergii,25019,0,0,25019,1,25019,25019
Euphorbia telephioides,730928,18343,13200,762471,14,421782,20583.5
Euphydryas editha bayensis,786020,646547,0,1432567,14,227911,88119
Euphydryas editha quino (=E. e. wrighti),3722294,1974006,1503000,7199300,14,2117111,283655
Euphydryas editha taylori,435933,986782,35000,1457715,2,935487,728857.5
Euphyllia paradivisa,0,349861,0,349861,1,349861,349861
Euproserpinus euterpe,247297,216266,0,463563,15,69544,34403
Eurycea chisholmensis,47500,3776,0,51276,2,42576,25638
Eurycea nana,808896,33389,63933,906218,15,232499,26605
Eurycea naufragia,166000,49190,0,215190,2,174590,107595
Eurycea sosorum,2882133,786338,59923,3728394,15,1884500,93850
Eurycea tonkawae,308000,75150,0,383150,3,250550,99400
Eurycea waterlooensis,115000,5973,0,120973,3,75550,32223
Eutrema penlandii,100538,158619,7055,266212,15,84425,3509
Exocarpos luteolus,227144,3925,15742,246811,15,68910,5125
Falco femoralis septentrionalis,2265600,13341806,233905,15841311,15,1539057,495328
Festuca molokaiensis,25081,847,2796,28724,3,11172,9008
Flueggea neowawraea,368787,1658165,55796,2082748,15,226845,143661
Formicivora erythronotos,390,0,0,390,1,390,390
Frankenia johnstonii,378000,230081,62654,670735,15,233500,23700
Fremontodendron californicum ssp. decumbens,242129,171110,1000,414239,14,89983,22773.5
Fremontodendron mexicanum,144441,129869,0,274310,11,129339,7500
Fritillaria gentneri,1383649,4415013,21529,5820191,15,890036,353383
Fulica americana alai,4026820,4021596,50928,8099344,15,2319024,347158
Fusconaia burkei,13869,53729,0,67598,3,26256,22746
Fusconaia cor,591655,1678572,5600,2275827,15,638000,31710
Fusconaia cuneolus,641886,1729065,10500,2381451,15,657000,40816.5
Fusconaia escambia,17858,136166,0,154024,3,84804,50401
Fusconaia rotulata,2700,66353,0,69053,3,29355,21251
Gahnia lanaiensis,52947,5330,747,59024,13,15731,3600
Galactia smallii,104300,11429,7000,122729,15,38100,3800
Galium buxifolium,43464,118340,0,161804,14,32800,7166.5
Galium californicum ssp. sierrae,281759,2156950,420,2439129,14,1842000,35695
Gallinula chloropus guami,791192,2156084,27900,2975176,15,1000078,70680
Gallinula galeata sandvicensis,149586,783149,0,932735,1,932735,932735
Gambelia silus,2335578,3017304,67600,5420482,15,809255,359762
Gambusia gaigei,276748,112900,8950,398598,15,65772,17500
Gambusia georgei,53100,17573,8950,79623,15,50000,1020
Gambusia heterochir,374113,0,8950,383063,13,222500,6300
Gambusia nobilis,346031,334100,52117,732248,15,183700,38200
Gammarus acherondytes,203300,13291,60728,277319,15,95500,8464
Gammarus desperatus,114122,24100,32488,170710,11,62688,13881
Gammarus hyalleloides,27000,3000,0,30000,3,20500,7500
Gammarus pecos,1000,5000,1400,7400,2,4900,3700
Gardenia brighamii,463596,2687,33267,499550,15,180728,17009
Gardenia mannii,281946,1023075,13377,1318398,15,183571,74063
Gasterosteus aculeatus williamsoni,779168,1067428,88100,1934696,15,314351,89093
Gaura neomexicana var. coloradensis,289935,1175437,8950,1474322,15,200175,89157
Gazella dama,0,150,0,150,1,150,150
Gazella leptoceros,0,150,0,150,1,150,150
Geocarpon minimum,952719,39068,115990,1107777,15,514400,20000
Geranium arboreum,158187,279584,9951,447722,14,70805,30108.5
Geranium hanaense,26400,3444,2796,32640,3,14582,9658
Geranium hillebrandii,24702,1042,2796,28540,3,11572,8544
Geranium kauaiense,116744,1577,4182,122503,6,30830,19928
Geranium multiflorum,98351,146750,4867,249968,15,43902,13938
Gesneria pauciflora,86000,100,0,86100,14,42000,3500
Geum radiatum,82450,125404,4595,212449,15,36670,11547
Gila bicolor ssp.,848405,478407,37666,1364478,15,475243,24602.5
Gila bicolor ssp. mohavensis,485252,370707,7500,863459,4,475243,141413.5
Gila bicolor ssp. snyderi,152495,56300,0,208795,5,67500,47140
Gila boraxobius,1258089,220400,19126,1497615,15,705319,63624
Gila cypha,5068178,92299196,5088364,102455738,15,13409098,6670006
Gila ditaenia,65894,482810,204380,753084,15,314400,27000
Gila elegans,9222287,64573388,3791374,77587049,15,6700373,5733982
Gila intermedia,339927,6693973,731180,7765080,10,2764031,605988
Gila nigrescens,374084,22900,29803,426787,15,66167,9537
Gila purpurea,437903,71460,169880,679243,15,128150,22100
Gila robusta,1592392,177973,35000,1805365,15,474975,81662
Gila robusta jordani,1592392,177973,35000,1805365,15,474975,81662
Gila seminuda (=robusta),5072644,1705700,3156723,9935067,15,890379,715062
Gilia tenuiflora ssp. arenaria,252395,625393,0,877788,15,181200,36754
Gilia tenuiflora ssp. hoffmannii,116223,107980,0,224203,13,113922,7714
Glaucidium brasilianum cactorum,2001685,1406663,562000,3970348,5,1607900,657590
Glaucomys sabrinus coloratus,437557,612855,182274,1232686,15,186604,71000
Glaucomys sabrinus fuscus,534636,1563135,113159,2210930,11,504638,175807
Glaucopsyche lygdamus palosverdesensis,881319,2651023,3200,3535542,15,980750,195055
Goetzea elegans,130000,4300,0,134300,14,22500,9500
Gonocalyx concolor,9100,200,0,9300,1,9300,9300
Gopherus agassizii,36471965,183791586,2320540,222584091,15,33677623,7958057
Gopherus polyphemus,3804500,37203478,356437,41364415,15,13348459,2102100
Gorilla gorilla,3685636,3685636,0,7371272,1,7371272,7371272
Gouania hillebrandii,47099,1577,6671,55347,15,10605,2387
Gouania meyenii,88238,1577,23218,113033,14,20052,5841
Gouania vitifolia,169068,1082133,28786,1279987,15,189182,119293
Graptemys flavimaculata,177792,111086,22000,310878,15,44392,15128
Graptemys oculifera,92000,454241,40584,586825,15,277891,12296
Grindelia fraxinipratensis,172552,14800,0,187352,3,126209,30783
Grus americana,15871475,42518718,1984912,60375105,15,5987523,791512
Grus canadensis pulla,5531920,369735,5800,5907455,15,672740,428100
Grus monacha,0,1640,0,1640,1,1640,1640
Grus nigricollis,0,1640,0,1640,1,1640,1640
Grus vipio,0,1400,0,1400,1,1400,1400
Gymnoderma lineare,201657,37126,17815,256598,15,37300,15400
Gymnogyps californianus,20736120,9740961,2877942,33355023,15,3385702,715644.5
Hackelia venusta,331233,190106,4100,525439,14,110486,29963
Haliaeetus albicilla groenlandicus,0,14000,0,14000,1,14000,14000
Haliaeetus leucocephalus,16855408,46693050,8777116,72325574,12,13462328,7251633.5
Haliotis cracherodii,0,7030751,0,7030751,5,1666933,1638873
Haliotis sorenseni,20200,14810942,21000,14852142,15,6713710,330883
Halophila johnsonii,12300,19514221,8700,19535221,15,5695822,730864
Hamiota australis,14769,124214,0,138983,3,89106,30611
Haplostachys haplostachya,141232,2396662,13651,2551545,15,453910,166277
Harperocallis flava,217272,613126,4400,834798,15,162662,45472
Harpia harpyja,250,0,0,250,1,250,250
Harrisia portoricensis,154300,300,0,154600,14,38800,6750
Hedeoma todsenii,47500,716911,0,764411,14,160946,39125
Hedyotis purpurea var. montana,58200,17500,7327,83027,14,15500,5141
Helenium virginicum,137555,60037,48600,246192,15,54800,17700
Helianthemum greenei,217659,94500,200,312359,15,112735,7600
Helianthus eggertii,145000,666704,8246,819950,5,259100,150950
Helianthus paradoxus,901334,326713,23334,1251381,15,282242,69400
Helianthus schweinitzii,549492,381768,184132,1115392,15,213744,67353
Helianthus verticillatus,66000,600,0,66600,2,45600,33300
Helminthoglypta walkeriana,1636803,139311,2500,1778614,15,208500,115638
Helonias bullata,927406,775884,97564,1800854,15,256185,105192
Hemignathus hanapepe,3920,0,0,3920,1,3920,3920
Hemignathus wilsoni,13276,44915,0,58191,1,58191,58191
Hemistena lata,628170,2693619,22233,3344022,15,715813,73861.5
Heraclides aristodemus ponceanus,745810,135106,0,880916,15,460327,27430
Herpailurus (=Felis) yagouaroundi cacomitli,661950,2134040,13350,2809340,15,907675,85567
Herpailurus (=Felis) yagouaroundi tolteca,45200,950,44780,90930,11,45000,2480
Hesperia dacotae,184787,123703,6200,314690,1,314690,314690
Hesperia leonardus montana,146026,237064,0,383090,14,69853,23259.5
Hesperolinon congestum,187656,106313,0,293969,15,69500,13300
Hesperomannia arborescens,213615,958720,9870,1182205,15,175875,74520
Hesperomannia arbuscula,135825,1219771,14262,1369858,15,173522,115353
Hesperomannia lydgatei,57330,1577,3343,62250,14,9787,4550.5
Heterelmis comalensis,665788,45694,24482,735964,15,207377,38359
Hexastylis naniflora,251924,1208837,556873,2017634,15,630466,54612
Hibiscadelphus distans,52163,31738,25252,109153,15,23691,6964
Hibiscadelphus giffardianus,56980,99745,5675,162400,15,21963,11537
Hibiscadelphus hualalaiensis,180996,78103,23630,282729,15,104962,14274
Hibiscadelphus woodii,59261,1577,3660,64498,15,10820,3500
Hibiscus arnottianus ssp. immaculatus,346872,22174,4707,373753,14,173664,5904
Hibiscus brackenridgei,420553,1799191,48647,2268391,15,385494,167282
Hibiscus clayi,59575,2087,20734,82396,15,10770,5351
Hibiscus dasycalyx,36000,400,26255,62655,2,41555,31327.5
Hibiscus waimeae ssp. hannerae,80142,45267,18366,143775,14,35146,5506
Himantopus mexicanus knudseni,3964589,5035673,65628,9065890,14,2258563,465257.5
Hoffmannseggia tenella,351250,98255,26850,476355,15,93100,24291
Holocarpha macradenia,447472,120300,3500,571272,15,115369,29500
Howellia aquatilis,1870610,1313337,94490,3278437,15,539612,179252
Hudsonia montana,81600,21500,1558,104658,13,28000,9000
Huperzia mannii,83637,86689,5931,176257,15,21473,13330
Huperzia nutans,46780,465081,2796,514657,4,168747,121771.5
Hybognathus amarus,10739776,135044959,518506,146303241,15,12451853,8357200
Hylobates spp. (including Nomascus),521200,522400,0,1043600,1,1043600,1043600
Hymenoxys herbacea,164300,59199,16368,239867,15,57870,11331
Hymenoxys texana,489200,891946,27345,1408491,15,213188,79170
Hypericum cumulicola,138201,4900,82900,226001,15,59100,11900
Hypomesus transpacificus,15964258,71563969,1255000,88783227,15,17263815,2881714
Icaricia (Plebejus) shasta charlestonensis,305700,0,700,306400,2,305700,153200
Icaricia icarioides fenderi,5400790,2104092,0,7504882,15,1160894,467199
Icaricia icarioides missionensis,380350,2111845,0,2492195,15,347222,152100
Ictalurus pricei,604338,149510,156080,909928,15,299150,25600
Ilex cookii,50500,23000,0,73500,14,31400,1750
Ilex sintenisii,55600,1016,0,56616,14,11700,2000
Iliamna corei,101046,28200,13700,142946,15,46500,6000
Ipomopsis polyantha,713215,66430,7055,786700,5,543032,64000
Ipomopsis sancti-spiritus,84675,16484,0,101159,7,31000,15000
Iris lacustris,274500,116943,23250,414693,15,98536,24800
Ischaemum byrone,61407,97047,6462,164916,15,24515,10400
Isodendrion hosakae,62372,2146066,7486,2215924,15,453510,158548
Isodendrion laurifolium,80119,13577,26586,120282,15,14900,9408
Isodendrion longifolium,81842,278781,21463,382086,15,101736,11884
Isodendrion pyrifolium,361693,145287,15404,522384,15,146626,7293
Isoetes louisianensis,56600,1509384,8600,1574584,15,269670,101500
Isoetes melanospora,48600,21246,15000,84846,15,18100,4400
Isoetes tegetiformans,40300,11497,15000,66797,15,10400,3120
Isopora crateriformis,0,349861,0,349861,1,349861,349861
Isotria medeoloides,563461,3204513,98986,3866960,15,788008,182532
Ivesia kingii var. eremica,287461,20713,0,308174,11,120094,23078
Ivesia webberi,291884,34160,1000,327044,2,165420,163522
Jacquemontia reclinata,290600,15171,71400,377171,15,79600,12050
Juglans jamaicensis,62100,1200,0,63300,13,10000,5000
Justicia cooleyi,23250,10194,9600,43044,11,8300,3600
Juturnia kosteri,71053,22000,6650,99703,11,13576,10100
Kadua cookiana,5040,0,0,5040,1,5040,5040
Kadua cordata remyi,13561,0,0,13561,1,13561,13561
Kadua coriacea,47082,942314,2796,992192,4,320182,277601
Kadua degeneri,32398,476277,5592,514267,4,178787,118099.5
Kadua laxiflora,16089,100,0,16189,1,16189,16189
Kadua parvula,26492,261305,2796,290593,4,139262,69123.5
Kanaloa kahoolawensis,111331,1987,6526,119844,15,27773,5033
Keysseria (=Lagenifera) erici,84281,789,2796,87866,6,21856,13000
Keysseria (=Lagenifera) helenae,75721,789,2796,79306,6,19928,13220
Kobus leche,500,450,0,950,1,950,950
Kokia cookei,89801,1987,10165,101953,15,19119,4810
Kokia drynarioides,168618,559244,52270,780132,14,105469,50093.5
Kokia kauaiensis,96697,11415,21290,129402,15,30239,3600
Korthalsella degeneri,20201,747,2796,23744,3,8458,7645
Labordia cyrtandrae,148652,1016375,12388,1177415,15,292655,49349
Labordia helleri,45071,1577,4079,50727,6,12967,8022
Labordia lydgatei,137736,44829,6838,189403,15,39420,9179
Labordia pumila,74607,1577,2796,78980,6,18523,13062
Labordia tinifolia var. lanaiensis,78191,6077,6844,91112,14,17870,3450
Labordia tinifolia var. wahiawaensis,92070,1577,5976,99623,15,21589,3500
Labordia triflora,244576,1577,4782,250935,15,159195,4800
Lampsilis abrupta,2737204,4209861,488545,7435610,15,1180916,398669
Lampsilis altilis,564950,373851,46111,984912,15,210145,44137
Lampsilis higginsii,3435050,8312862,611242,12359154,15,1302660,804799
Lampsilis perovalis,373550,317260,20704,711514,15,194228,27555
Lampsilis powellii,317400,958067,16525,1291992,9,791720,36000
Lampsilis rafinesqueana,103069,327669,3811,434549,2,250463,217274.5
Lampsilis streckeri,312300,98786,12200,423286,13,75827,30000
Lampsilis subangulata,1623751,321737,37782,1983270,14,280725,126752
Lampsilis virescens,337700,836476,4000,1178176,15,526000,9262
Lanius ludovicianus mearnsi,318769,32631163,2600,32952532,15,4453692,2405580
